Building_name,Building_type,School_type,Latlon
Gillespie Neuroscience Research Facility (GNRF),"Academic Units & Schools, Research Facilities",Medicine,
Gottschalk Medical Plaza,Academic Units & Schools,Medicine,
Hewitt Research Hall (HRH),"Academic Units & Schools, Research Facilities",Medicine,
Irvine Hall (IH),Academic Units & Schools,Medicine,
MRI 3T Trailer,Academic Units & Schools,Medicine,
MRI 4T Trailer,Academic Units & Schools,Medicine,
Medical Education Building,Academic Units & Schools,Medicine,
Medical Sciences A (MS-A),Academic Units & Schools,Medicine,
Medical Sciences A Administration,Academic Units & Schools,Medicine,
Medical Sciences A Annex,Academic Units & Schools,Medicine,
Medical Sciences B (MS-B),Academic Units & Schools,Medicine,
Medical Sciences C (MS-C),Academic Units & Schools,Medicine,
Medical Sciences Classroom Facility,Academic Units & Schools,Medicine,
Medical Sciences D (MS-D) | Cheney Hall,Academic Units & Schools,Medicine,
Medical Sciences E (MS-E),Academic Units & Schools,Medicine,
Medical Surge I (MS1),"Academic Units & Schools, Administrative",Medicine,
Medical Surge II (MS2),Academic Units & Schools,Medicine,
Sprague Hall (SPH),"Academic Units & Schools, Research Facilities",Medicine,
Sue & Bill Gross Nursing & Health Sciences Hall,"Academic Units & Schools, Research Facilities","Medicine, Nursing Science",
Susan & Henry Samueli College of Health Sciences Building,"Academic Units & Schools, Research Facilities","Medicine, Nursing Science",
Tamkin Student Lecture Building,Academic Units & Schools,Medicine,
Berk Hall (BH),Academic Units & Schools,Nursing Science,
Croul Hall (CRH),Academic Units & Schools,Physical Sciences,
Frederick Reines Hall (FRH),Academic Units & Schools,Physical Sciences,
Multipurpose Science & Technology Building (MSTB),"Academic Units & Schools, Administrative",Physical Sciences,
Natural Sciences I (NS1),Academic Units & Schools,Physical Sciences,
Natural Sciences II (NS2),Academic Units & Schools,Physical Sciences,
Parkview Classroom Building (PCB),Academic Units & Schools,Physical Sciences,
Physical Sciences Classroom Building (PSCB),Academic Units & Schools,Physical Sciences,
Physical Sciences High Bay,"Academic Units & Schools, Research Facilities",Physical Sciences,
Physical Sciences Lecture Hall (PSLH),Academic Units & Schools,Physical Sciences,
Rowland Hall (RH),Academic Units & Schools,Physical Sciences,
Anteater Instruction & Research Building (AIRB),"Academic Units & Schools, Research Facilities",Public Health,
Social & Behavioral Sciences Gateway (SBSG),Academic Units & Schools,"Social Ecology, Social Sciences",
Social Ecology I (SE),"Academic Units & Schools, Administrative",Social Ecology,
Social Ecology II (SE2),Academic Units & Schools,Social Ecology,
Social Science Hall (SSH),Academic Units & Schools,Social Sciences,
Social Science Laboratory (SSL),Academic Units & Schools,Social Sciences,
Social Science Lecture Hall (SSLH),Academic Units & Schools,Social Sciences,
Social Science Plaza A (SSPA),Academic Units & Schools,Social Sciences,
Social Science Plaza B (SSPB),Academic Units & Schools,Social Sciences,
Social Science Tower (SST),"Academic Units & Schools, Administrative",Social Sciences,
Social Science Trailer (SSTR),Academic Units & Schools,Social Sciences,
Summer Session A,Academic Units & Schools,Summer Session,
Summer Session B,Academic Units & Schools,Summer Session,
100 Theory,"Administrative, Research Facilities",,
101 Academy,Administrative,,
110 Theory,Administrative,,
111 Theory,Administrative,,
120 Theory,Administrative,,
131 Innovation,Administrative,,
141 Innovation,Administrative,,
5141 California,Administrative,,
5171 California,Administrative,,
5251 California,Administrative,,
5270 California,Administrative,,
Administrative Modular,Administrative,,
Aldrich Hall (ALH),Administrative,,
American Heart Association,Administrative,,
Environmental Health & Safety Services Facility,Administrative,,
Facilities Management Building,"Administrative, Campus Facilities",,
Faculty and Staff Housing Office,Administrative,,
Mesa Office Building (MOB),Administrative,,
Multipurpose Academic & Admin. Bldg.,Administrative,,
Newkirk Alumni Center,Administrative,,
Public Services (PSB),Administrative,,
Student Center (SC),Administrative,,
Student Center South,Administrative,,
University Tower (UT),Administrative,,
Air Pollution Health Effects Laboratory (APHEL),"Campus Facilities, Research Facilities",,
Building Services Building,Campus Facilities,,
Central Plant (CP),Campus Facilities,,
Distribution Facility,Campus Facilities,,
Electrical Substation,Campus Facilities,,
Facilities Management Shops,Campus Facilities,,
Faculty Research Facility,Campus Facilities,,
Fleet Services Office,Campus Facilities,,
Grounds Maintenance Facility,Campus Facilities,,
Receiving,Campus Facilities,,
Recycling Center,Campus Facilities,,
Thermal Energy Storage Tank,Campus Facilities,,
Anteater Recreation Center (ARC),Campus Recreation,,
Court Building,Campus Recreation,,
Field Building,Campus Recreation,,
Continuing Education 1 (DCE),Continuing Education,,
Continuing Education 3,Continuing Education,,
Continuing Education 4,Continuing Education,,
Continuing Education 5,Continuing Education,,
Continuing Education 6,Continuing Education,,
Gateway Study Center (GC),Libraries,,
Langson Library (LLIB),Libraries,,
Law Library,Libraries,,
Science Library (SLIB),Libraries,,"33.64571114877641, -117.84656609348366"
Arboretum (ARBO),Research Facilities,,
Beckman Center of the National Academies of Sciences & Engineering,Research Facilities,,
California Institute for Telecommunications and Information Technology (Calit2),Research Facilities,,
Faculty Research Facility (FRF),Research Facilities,,
Plumwood House (PH),Research Facilities,,
Sue & Bill Gross Hall: A CIRM Institute,Research Facilities,,
